b number,NAME,PRODUCT-NAME,Class,Protein,RNA FISH
b0999,cbpM,chaperone-modulator protein CbpM,noessential,1,
b1000,cbpA,CbpA monomer,noessential,,
b1001,yccE,predicted protein,noessential,,
b1002,agp,3-phytase / glucose-1-phosphatase,noessential,,
b1003,yccJ,predicted protein,noessential,1,1
b1004,wrbA,WrbA monomer,noessential,1,1
b1006,rutG,predicted xanthine/uracil transporter,noessential,,
b1007,rutF,predicted flavin reductase,noessential,,
b1008,rutE,predicted nitroreductase,noessential,,
b1009,rutD,&alpha;/&beta;-hydrolase,noessential,,
b1010,rutC,predicted endoribonuclease,noessential,1,
b1011,rutB,predicted isochorismatase,noessential,,
b1012,rutA,predicted coenzyme F<sub>420</sub>-dependent N<sup>5</sup>;N<sup>10</sup>-methylenetetrahydromethanopterin reductase,noessential,1,
b1013,rutR,RutR transcriptional dual regulator,noessential,,
b1014,putA,PutA transcriptional repressor; Proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase,noessential,1,
b1015,putP,PutP proline SSS transporter,noessential,1,
b1016,efeU_1,hypothetical protein of the OFeT transport family,noessential,,
b1018,efeO,conserved protein,noessential,1,
b1019,efeB,heme-containing peroxidase,noessential,,
b1020,phoH,ATP-binding protein,noessential,1,
b1021,pgaD,predicted inner membrane protein,noessential,,
b1022,pgaC,predicted N-glycosyltransferase,noessential,,
b1023,pgaB,predicted enzyme associated with biofilm formation,noessential,,
b1024,pgaA,predicted outer membrane protein,noessential,1,
b1025,ycdT,predicted diguanylate cyclase,noessential,,
b1026,insF-4,IS3 element protein InsF,noessential,,
b1027,insE-4,IS3 element protein InsE,noessential,,
b1029,ycdU,predicted inner membrane protein,noessential,,
b1032,serX,tRNA<SUP>serX</SUP>,noessential,,
b1033,ghrA,glyoxylate reductase,noessential,1,
b1034,ycdX,predicted zinc-binding hydrolase,noessential,,
b1035,ycdY,putative oxidoreductase component,noessential,,
b1036,ycdZ,putative transport protein,noessential,,
b1037,csgG,curli production component,noessential,1,
b1038,csgF,curli assembly component,noessential,,
b1039,csgE,curli production assembly/transport component,noessential,,
b1040,csgD,CsgD transcriptional dual regulator,noessential,1,
b1041,csgB,curlin; minor subunit precursor,noessential,,
b1042,csgA,curlin; major subunit,noessential,,
b1043,csgC,putative curli production protein,noessential,,
b1044,ymdA,predicted protein,noessential,,
b1045,ymdB,putative polyprotein,noessential,,
b1046,ymdC,predicted hydrolase,noessential,1,
b1047,mdoC,protein required for succinyl modification of osmoregulated periplasmic glucans,noessential,,
b1048,mdoG,periplasmic glucan (MDO) biosynthesis protein,noessential,,
b1049,mdoH,membrane glycosyltransferase; synthesis of membrane-derived oligosaccharide (MDO),noessential,1,
b1050,yceK,predicted lipoprotein,noessential,,
b1051,msyB,acidic protein that suppresses mutants lacking function of protein export,noessential,,
b1053,mdtG,YceE drug MFS transporter,noessential,,
b1054,lpxL,lauroyl acyltransferase,noessential,,
b1055,yceA,conserved protein,noessential,1,
b1056,yceI,predicted protein,noessential,,
b1057,yceJ,predicted cytochrome b561,noessential,,
b1058,yceO,predicted protein,noessential,,
b1059,solA,<I>N</I>-methyltryptophan oxidase,noessential,,
b1060,bssS,regulator of biofilm formation,noessential,,
b1061,dinI,DNA damage-inducible protein I,noessential,,
b1062,pyrC,dihydroorotase,noessential,,
b1063,yceB,predicted lipoprotein,noessential,,
b1064,grxB,oxidized glutaredoxin 2,noessential,,
b1065,mdtH,YceL MFS transporter,noessential,,
b1066,rimJ,ribosomal-protein-S5-alanine N-acetyltransferase,noessential,,
b1067,yceH,conserved protein,noessential,,
b1068,yceM,predicted oxidoreductase; NAD(P)-binding Rossmann-fold domain,noessential,1,
b1069,yceN,predicted inner membrane protein,essential,,
b1070,flgN,flagellar biosynthesis protein FlgN,noessential,,
b1071,flgM,anti-sigma factor for FliA (sigma 28),noessential,,
b1072,flgA,flagellar biosynthesis; assembly of basal-body periplasmic P ring,noessential,,
b1073,flgB,flagellar basal-body rod protein FlgB,noessential,,
b1074,flgC,flagellar basal-body rod protein FlgC,noessential,,
b1075,flgD,flagellar biosynthesis; initiation of hook assembly,noessential,,
b1076,flgE,flagellar hook protein FlgE,noessential,,
b1077,flgF,flagellar basal-body rod protein FlgF,noessential,,
b1078,flgG,flagellar basal-body rod protein FlgG,noessential,,
b1079,flgH,flagellar L-ring protein FlgH; basal-body outer-membrane L (lipopolysaccharide layer) ring protein,noessential,,
b1080,flgI,flagellar P-ring protein FlgI,noessential,,
b1081,flgJ,FlgJ,noessential,,
b1082,flgK,flagellar biosynthesis; hook-filament junction protein 1,noessential,,
b1083,flgL,flagellar biosynthesis; hook-filament junction protein,noessential,,
b1084,rne,RNase E,essential,,
b1085,yceQ,predicted protein,essential,,
b1086,rluC,23S rRNA pseudouridine synthase,noessential,1,
b1087,yceF,predicted nucleotide-binding protein,noessential,1,
b1088,yceD,conserved protein,noessential,1,
b1089,rpmF,50S ribosomal subunit protein L32,noessential,,
b1090,plsX,fatty acid/phospholipid synthesis protein,noessential,1,
b1091,fabH,&beta;-ketoacyl-ACP synthase / acetyl-CoA:ACP transacylase,noessential,1,
b1092,fabD,malonyl-CoA-ACP transacylase,essential,1,
b1093,fabG,&beta;-ketoacyl-[acyl-carrier-protein] reductase,essential,,
b1094,acpP,lipoyl-ACP,essential,,
b1095,fabF,&beta;-ketoacyl-ACP synthase,noessential,1,
b1096,pabC,para-aminobenzoate synthase multi-enzyme complex,noessential,,
b1097,yceG,predicted aminodeoxychorismate lyase,noessential,,
b1098,tmk,dTMP kinase,essential,1,
b1099,holB,DNA polymerase III; &delta; prime subunit,essential,1,
b1100,ycfH,predicted metallodependent hydrolase,noessential,1,
b1101,ptsG,enzyme II <sup>glc</sup>,noessential,,
b1102,fhuE,outer membrane receptor for ferric iron uptake,noessential,,
b1103,hinT,purine nucleoside phosphoramidase,noessential,1,
b1104,ycfL,putative lipoprotein,noessential,,
b1105,ycfM,predicted protein,noessential,,
b1106,thiK,thiamin kinase,noessential,,
b1107,nagZ,&beta;-N-acetylglucosaminidase,noessential,1,
b1108,ycfP,conserved protein,noessential,1,
b1109,ndh,NADH:ubiquinone oxidoreductase II,noessential,1,
b1110,ycfJ,predicted protein,noessential,,
b1111,ycfQ,predicted DNA-binding transcriptional regulator,noessential,,
b1112,bhsA,protein involved in stress resistance and biofilm formation,noessential,1,
b1113,ycfS,conserved protein,noessential,,
b1114,mfd,transcription-repair coupling factor,noessential,1,
b1115,ycfT,putative transport protein,noessential,,
b1116,lolC,LolCDE ABC lipoprotein transporter,essential,,
b1117,lolD,LolCDE ABC lipoprotein transporter,essential,1,
b1118,lolE,LolCDE ABC lipoprotein transporter,essential,,
b1119,nagK,N-acetyl-D-glucosamine kinase,noessential,1,
b1120,cobB,protein deacetylase; Sir2 homolog,noessential,1,
b1121,ycfZ,predicted inner membrane protein,noessential,,
b1122,ymfA,predicted inner membrane protein,noessential,,
b1123,potD,putrescine/spermidine ABC transporter,noessential,,
b1124,potC,putrescine/spermidine ABC transporter,noessential,,
b1125,potB,putrescine/spermidine ABC transporter,noessential,,
b1126,potA,putrescine/spermidine ABC transporter,noessential,,
b1127,pepT,peptidase T,noessential,1,
b1128,ycfD,conserved protein,noessential,1,
b1129,phoQ,PhoQ-P<SUP>his</SUP>,noessential,1,
b1130,phoP,PhoP-Phosphorylated transcriptional dual regulator,noessential,,
b1131,purB,5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole lyase [multifunctional],noessential,1,1
b1132,hflD,predicted lysogenization regulator,noessential,,
b1133,mnmA,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,essential,1,
b1134,nudJ,HMP-PP hydrolase / thiamin pyrophosphate hydrolase,noessential,,
b1135,rluE,23S rRNA pseudouridine synthase,noessential,,
b1136,icd,isocitrate dehydrogenase,noessential,,
b1137,ymfD,e14 prophage; predicted SAM-dependent methyltransferase,noessential,,
b1138,ymfE,e14 prophage; predicted inner membrane protein,noessential,,
b1139,lit,Lit; cell death peptidase; phage exclusion; e14 prophage,noessential,,
b1140,intE,e14 prophage; predicted integrase,noessential,,
b1141,xisE,e14 prophage; predicted excisionase,noessential,,
b1142,ymfH,e14 prophage; predicted protein,noessential,,
b1143,ymfI,e14 prophage; predicted protein,noessential,,
b1144,ymfJ,e14 prophage; predicted protein,noessential,,
b1145,ymfK,e14 prophage; predicted repressor protein,noessential,,
b1146,ymfT,e14 prophage; predicted DNA-binding transcriptional regulator,noessential,,
b1147,ymfL,e14 prophage; predicted DNA-binding transcriptional regulator,noessential,,
b1148,ymfM,e14 prophage; predicted protein,noessential,,
b1149,ymfN,e14 prophage; predicted DNA-binding transcriptional regulator,noessential,,
b1150,ymfR,e14 prophage; predicted protein,noessential,,
b1151,ymfO,e14 prophage; conserved protein,noessential,,
b1152,ymfP,e14 prophage; conserved protein,noessential,,
b1153,ymfQ,e14 prophage; conserved protein,noessential,,
b1154,ycfK,e14 prophage; predicted protein,noessential,,
b1155,ymfS,e14 prophage; predicted protein,noessential,,
b1156,tfaE,e14 prophage; predicted tail fiber assembly protein,noessential,,
b1157,stfE,e14 prophage; predicted side tail fiber protein fragment,noessential,,
b1158,pinE,e14 prophage; site-specific DNA recombinase,noessential,,
b1159,mcrA,restriction of DNA at 5-methylcytosine residues,noessential,,
b1160,elbA,predicted protein,noessential,,
b1161,ycgX,predicted protein,noessential,,
b1162,ycgE,predicted DNA-binding transcriptional regulator,noessential,1,
b1163,ycgF,predicted FAD-binding phosphodiesterase,noessential,1,
b1164,ycgZ,predicted protein,noessential,,
b1165,ymgA,protein involved in biofilm formation,noessential,,
b1166,ariR,regulator of acid resistance; influenced by indole,noessential,,
b1167,ymgC,protein involved in biofilm formation,noessential,,
b1168,ycgG,conserved inner membrane protein,noessential,,
b1171,ymgD,predicted protein,noessential,,
b1172,ymgG,predicted protein,noessential,,
b1173,ycgI,predicted protein,noessential,,
b1174,minE,cell division topological specificity factor and inhibitory component of the MinC-MinD-MinE system that regulates septum placement,noessential,,
b1175,minD,membrane ATPase of the MinC-MinD-MinE system that regulates septum placement,noessential,,
b1176,minC,cell division inhibitor of the MinC-MinD-MinE and DicB-MinC systems that regulate septum placement,noessential,,
b1177,ycgJ,predicted protein,noessential,,
b1178,ycgK,predicted protein,noessential,,
b1179,ycgL,conserved protein,noessential,,
b1180,ycgM,predicted isomerase/hydrolase,noessential,,
b1181,ycgN,conserved protein,noessential,,
b1182,hlyE,hemolysin E,noessential,,
b1183,umuD,SOS mutagenesis; error-prone repair; processed to UmuD'; forms complex with UmuC,noessential,,
b1184,umuC,SOS mutagenesis and repair,noessential,,
b1185,dsbB,oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I,noessential,,
b1186,nhaB,NhaB sodium/proton transporter,noessential,,
b1187,fadR,FadR transcriptional dual regulator,noessential,1,
b1188,ycgB,putative sporulation protein,noessential,,
b1189,dadA,D-amino acid dehydrogenase; small subunit,noessential,,
b1190,dadX,alanine racemase 2; PLP-binding,noessential,1,
b1191,cvrA,YcgO CPA1 Transporter,noessential,,
b1192,ldcA,L;D-carboxypeptidase A,noessential,,
b1193,emtA,lytic murein transglycosylase E,noessential,,
b1194,ycgR,protein involved regulation of flagellar motility,noessential,,
b1195,ymgE,transglycosylase associated protein,noessential,,
b1196,ycgY,predicted protein,noessential,,
b1197,treA,periplasmic trehalase,noessential,1,
b1198,dhaM,dihydroxyacetone kinase subunit M,noessential,1,
b1199,dhaL,dihydroxyacetone kinase subunit L,noessential,,
b1200,dhaK,dihydroxyacetone kinase subunit K,noessential,1,
b1201,dhaR,DhaR transcriptional dual regulator,noessential,,
b1202,ycgV,putative adhesion and penetration protein,noessential,1,
b1203,ychF,putative GTP-binding protein,noessential,,
b1204,pth,peptidyl-tRNA hydrolase,essential,1,
b1205,ychH,predicted inner membrane protein,noessential,,
b1206,ychM,YchM sulfate SulP transporter,noessential,,
b1207,prs,ribose-phosphate diphosphokinase,essential,1,1
b1208,ispE,4-diphosphocytidyl-2-C-methylerythritol kinase,essential,1,
b1209,lolB,outer membrane lipoprotein; localization of lipoproteins in the outer membrane,essential,,
b1210,hemA,glutamyl-tRNA reductase,essential,,
b1211,prfA,peptide chain release factor RF1,essential,1,
b1212,prmC,protein-(glutamine-N5) methyltransferase,essential,,
b1213,ychQ,predicted transcriptional regulator,noessential,,
b1214,ychA,predicted transcriptional regulator,noessential,,
b1215,kdsA,3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase,essential,1,
b1216,chaA,ChaA calcium CaCA transporter,noessential,,
b1217,chaB,predicted cation transport regulator,noessential,,
b1218,chaC,predicted cation transport protein,noessential,,
b1219,ychN,conserved protein,noessential,,
b1220,ychO,predicted invasin,noessential,,
b1221,narL,NarL-Phosphorylated transcriptional dual regulator,noessential,,
b1222,narX,NarX-P<SUP>his</SUP>,noessential,,
b1223,narK,NarK MFS nitrate/nitrite antiporter,noessential,,
b1224,narG,nitrate reductase A; &alpha; subunit,noessential,1,
b1225,narH,nitrate reductase A; &beta; subunit,noessential,1,
b1226,narJ,molybdenum cofactor assembly chaperone subunit (&delta; subunit) of nitrate reductase 1,noessential,1,
b1227,narI,nitrate reductase A; &gamma; subunit,noessential,,
b1228,ychS,predicted protein,noessential,1,
b1229,tpr,predicted protamine-like protein,noessential,,
b1230,tyrV,tRNA<SUP>tyrV</SUP>,noessential,,
b1231,tyrT,tRNA<SUP>tyrT</SUP>,noessential,,
b1232,purU,formyltetrahydrofolate deformylase,noessential,,
b1233,ychJ,conserved protein,noessential,1,
b1234,rssA,hypothetical protein,noessential,1,
b1235,rssB,RssB-P,noessential,,
b1236,galU,glucose-1-phosphate uridylyltransferase,noessential,,
b1237,hns,H-NS transcriptional dual regulator,noessential,,
b1238,tdk,thymidine kinase / deoxyuridine kinase,noessential,,
b1240,b1240,,,1,
b1241,adhE,PFL-deactivase / alcohol dehydrogenase / acetaldehyde dehydrogenase,noessential,,
b1242,ychE,putative channel protein,noessential,,
b1243,oppA,OppA-oligopeptide ABC transporter substrate-binding,noessential,,
b1244,oppB,murein tripeptide ABC transporter,noessential,,
b1245,oppC,murein tripeptide ABC transporter,noessential,,
b1246,oppD,murein tripeptide ABC transporter,noessential,,
b1247,oppF,murein tripeptide ABC transporter,noessential,,
b1248,yciU,predicted protein,noessential,1,
b1249,cls,cardiolipin synthase,noessential,,
b1250,kch,potassium VIC channel,noessential,1,
b1251,yciI,predicted enzyme,noessential,1,
b1252,tonB,TonB protein; energy transducer; uptake of iron; cyanocobalimin; sensitivity to phages; colicins,noessential,,
b1253,yciA,esterase,noessential,,
b1254,yciB,predicted inner membrane protein,noessential,,
b1255,yciC,predicted inner membrane protein,noessential,,
b1256,ompW,OmpW; outer membrane protein,noessential,,
b1257,yciE,conserved protein,noessential,1,
b1258,yciF,putative structural protein,noessential,1,
b1259,yciG,predicted protein,noessential,,
b1260,trpA,tryptophan synthase; &alpha; subunit,noessential,,
b1261,trpB,tryptophan synthase; &beta; subunit,noessential,,
b1262,trpC,indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase,noessential,,
b1263,trpD,anthranilate synthase component II,noessential,,
b1264,trpE,anthranilate synthase component I,noessential,,
b1265,trpL,trp operon leader peptide,noessential,,
b1266,trpH,conserved protein,noessential,,
b1267,yciO,conserved protein,noessential,,
b1268,yciQ,predicted inner membrane protein,noessential,,
b1269,rluB,23S rRNA pseudouridine synthase,noessential,1,
b1270,btuR,cobinamide adenosyltransferase / cobalamin adenosyltransferase,noessential,,
b1271,yciK,predicted oxidoreductase,noessential,,
b1272,sohB,predicted inner membrane peptidase,noessential,1,
b1273,yciN,predicted protein,noessential,1,
b1274,topA,DNA topoisomerase I,essential,1,
b1275,cysB,CysB-O-acetyl-L-serine,noessential,1,
b1276,acnA,aconitase,noessential,,
b1277,ribA,GTP cyclohydrolase II,essential,,
b1278,pgpB,undecaprenyl pyrophosphate phosphatase [multifunctional],noessential,,
b1279,yciS,conserved inner membrane protein,noessential,,
b1280,yciM,putative heat shock protein,noessential,1,
b1281,pyrF,orotidine-5'-phosphate-decarboxylase,noessential,,
b1282,yciH,translation initiation factor,noessential,,
b1283,osmB,OsmB osmotically inducible lipoprotein,noessential,,
b1284,deoT,DNA-binding transcriptional regulator,noessential,,
b1285,gmr,modulator of RNase II stability,noessential,,
b1286,rnb,ribonuclease II,noessential,,
b1287,yciW,predicted oxidoreductase,noessential,,
b1288,fabI,enoyl-ACP reductase (NAD[P]H) [multifunctional],essential,1,1
b1289,ycjD,conserved protein,noessential,,
b1290,sapF,peptide uptake ABC transporter,noessential,1,
b1291,sapD,peptide uptake ABC transporter,noessential,,
b1292,sapC,peptide uptake ABC transporter,noessential,,
b1293,sapB,peptide uptake ABC transporter,noessential,,
b1294,sapA,peptide uptake ABC transporter,noessential,1,
b1295,ymjA,predicted protein,noessential,1,
b1296,puuP,putrescine importer,noessential,,
b1297,puuA,&gamma;-glutamylputrescine synthetase,noessential,,
b1298,puuD,&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,noessential,,
b1299,puuR,DNA-binding transcriptional repressor,noessential,,
b1300,puuC,&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase,noessential,,
b1301,puuB,&gamma;-glutamylputrescine oxidase,noessential,,
b1302,puuE,4-aminobutyrate aminotransferase,noessential,,
b1303,pspF,PspF transcriptional dual regulator,noessential,,
b1304,pspA,regulatory protein for the phage shock protein operon,noessential,,
b1305,pspB,stimulates PspC-mediated transcriptional activation of the psp operon; antitoxin of a PspC-PspB toxin-antitoxin pair,noessential,,
b1306,pspC,PspC transcriptional regulator; toxin of a PspC-PspB toxin-antitoxin pair,noessential,,
b1307,pspD,peripheral inner membrane phage-shock protein,noessential,,
b1308,pspE,thiosulfate sulfurtransferase,noessential,,
b1309,ycjM,predicted glucosyltransferase,noessential,,
b1310,ycjN,YcjN/YcjO/YcjP ABC transporter,noessential,,
b1311,ycjO,YcjN/YcjO/YcjP ABC transporter,noessential,,
b1312,ycjP,YcjN/YcjO/YcjP ABC transporter,noessential,,
b1313,ycjQ,predicted oxidoreductase; Zn-dependent and NAD(P)-binding,noessential,,
b1314,ycjR,predicted enzyme,noessential,,
b1315,ycjS,predicted oxidoreductase; NADH-binding,noessential,,
b1316,ycjT,predicted hydrolase,noessential,,
b1317,ycjU,&beta;-phosphoglucomutase,noessential,,
b1318,ycjV,predicted sugar transporter subunit: ATP-binding component of ABC superfamily,noessential,,
b1319,ompG,outer membrane porin OmpG,noessential,,
b1320,ycjW,putative LacI-type transcriptional regulator,noessential,,
b1321,ycjX,conserved protein,noessential,1,
b1322,ycjF,putative membrane protein,noessential,,
b1323,tyrR,TyrR transcriptional dual regulator,noessential,1,
b1324,tpx,thiol peroxidase 2,noessential,,
b1325,ycjG,L-Ala-D/L-Glu epimerase,noessential,,
b1326,mpaA,murein peptide amidase A,noessential,,
b1327,ycjY,hypothetical protein,noessential,1,
b1328,ycjZ,putative transcriptional regulator LysR-type,noessential,,
b1329,mppA,periplasmic murein tripeptide binding protein,noessential,,
b1330,ynaI,conserved inner membrane protein,noessential,,
b1331,insH-4,IS5 transposase and trans-activator,noessential,,
b1332,ynaJ,conserved hypothetical protein,noessential,,
b1333,uspE,universal stress protein with a role in resistance to UV irradiation,noessential,1,
b1334,fnr,FNR transcriptional dual regulator,noessential,,
b1335,ogt,Ogt,noessential,1,
b1336,abgT,AbgT Transporter,noessential,,
b1337,abgB,putative p-aminobenzoyl-glutmate hydrolase,noessential,1,
b1338,abgA,protein with similarity to aminoacyl aminohydrolases,noessential,,
b1339,abgR,putative transcriptional regulator LYSR-type,noessential,,
b1340,ydaL,conserved protein,noessential,,
b1341,ydaM,diguanylate cyclase; transcriptional modulator,noessential,1,
b1342,ydaN,predicted Zn(II) transporter,noessential,,
b1343,dbpA,DEAD box RNA helicase and RNA-dependent ATPase,noessential,,
b1344,ttcA,predicted C32 tRNA thiolase,noessential,,
b1345,intR,putative transposase,noessential,,
b1346,ydaQ,hypothetical protein,noessential,,
b1347,ydaC,hypothetical protein,noessential,,
b1348,lar,restriction alleviation and modification enhancement,noessential,,
b1349,recT,recombinase; DNA renaturation,noessential,,
b1350,recE,exonuclease VIII; ds DNA exonuclease; 5' --> 3' specific,noessential,1,
b1351,racC,Rac prophage; predicted protein,noessential,,
b1352,kilR,Rac prophage; inhibitor of FtsZ; killing protein,noessential,,
b1353,sieB,Rac prophage; phage superinfection exclusion protein,noessential,,
b1355,ydaG,hypothetical protein,noessential,1,
b1356,racR,hypothetical protein; predicted DNA-binding transcriptional regulator,noessential,,
b1357,ydaS,hypothetical protein,noessential,,
b1358,ydaT,hypothetical protein,noessential,,
b1359,ydaU,hypothetical protein,noessential,,
b1360,ydaV,putative DNA replication factor,noessential,,
b1361,ydaW,hypothetical protein,noessential,1,
b1362,rzpR,putative prophage lambda endopeptidase,noessential,,
b1363,trkG,TrkG potassium ion Trk Transporter,noessential,,
b1365,ynaK,Rac prophage; conserved protein,noessential,,
b1366,ydaY,Rac prophage; predicted protein,noessential,,
b1368,ynaA,Rac prophage; predicted tail protein,noessential,,
b1369,lomR_1,Rac prophage; predicted protein; N-ter fragment,noessential,,
b1370,insH-5,IS5 transposase and trans-activator,noessential,,
b1371,lomR_2,hypothetical protein,,1,
b1372,stfR,putative membrane protein,noessential,,
b1373,tfaR,Rac prophage; predicted tail fiber assembly protein,noessential,,
b1374,pinR,putative transposon resolvase,noessential,1,
b1375,ynaE,hypothetical protein,noessential,,
b1376,uspF,nucleotide binding filament protein,noessential,1,1
b1377,ompN,outer membrane pore protein N; non-specific,noessential,,
b1378,ydbK,putative pyruvate synthase,noessential,1,
b1379,hslJ,heat shock protein HslJ,noessential,1,
b1380,ldhA,D-lactate dehydrogenase,noessential,,
b1381,ydbH,conserved protein,noessential,,
b1382,ynbE,hypothetical protein,noessential,,
b1383,ydbL,conserved hypothetical protein,noessential,,
b1384,feaR,FeaR transcriptional activator,noessential,,
b1385,feaB,phenylacetaldehyde dehydrogenase,noessential,,
b1386,tynA,phenylethylamine oxidase / aminoacetone oxidase / amine oxidase (Cu containing),noessential,,
b1387,maoC,putative ring-cleavage enzyme of phenylacetate degradation,noessential,,
b1388,paaA,putative subunit of phenylacetate-CoA oxygenase,noessential,1,
b1389,paaB,putative subunit of phenylacetate-CoA oxygenase,noessential,,
b1390,paaC,putative subunit of phenylacetate-CoA oxygenase,noessential,,
b1391,paaD,putative subunit of phenylacetate-CoA oxygenase,noessential,1,
b1392,paaE,putative oxygenase reductase of phenylacetate degradation,noessential,,
b1393,paaF,putative enoyl-CoA hydratase/isomerase of phenylacetate degradation,noessential,1,
b1394,paaG,putative enoyl-CoA hydratase/isomerase of phenylacetate degradation,noessential,,
b1395,paaH,predicted 3-hydroxy-acyl-CoA dehydrogenase of phenylacetate degradation,noessential,,
b1396,paaI,hydroxyphenylacetyl-CoA thioesterase,noessential,1,
b1397,paaJ,&beta;-ketoadipyl-CoA thiolase,noessential,,
b1398,paaK,phenylacetate-CoA ligase,noessential,1,
b1399,paaX,PaaX transcriptional repressor,noessential,1,
b1400,paaY,predicted hexapeptide repeat acetyltransferase,noessential,,
b1402,insD-2,IS2 element protein,noessential,,
b1403,insC-2,IS2 element protein InsA,noessential,,
b1404,insI-2,transposase of IS30,noessential,,
b1406,ydbC,predicted oxidoreductase; NAD(P)-binding,noessential,1,
b1407,ydbD,predicted protein,noessential,,
b1408,ynbA,putative diacylglycerol cholinephosphotransferase,noessential,,
b1409,ynbB,predicted CDP-diglyceride synthase,noessential,,
b1410,ynbC,predicted hydrolase,noessential,1,
b1411,ynbD,predicted phosphatase; inner membrane protein,noessential,,
b1412,azoR,NADH-azoreductase; FMN-dependent,noessential,,
b1413,hrpA,ATP-dependent helicase,noessential,1,
b1414,ydcF,conserved hypothetical protein,noessential,,
b1415,aldA,aldehyde dehydrogenase A; NAD-linked,noessential,1,1
b1418,cybB,cytochrome b561,noessential,,
b1419,ydcA,hypothetical protein,noessential,,
b1420,mokB,regulatory peptide whose translation enables hokB expression,noessential,,
b1421,trg,MCP-III,noessential,,
b1422,ydcI,putative transcriptional regulator LysR-type,noessential,1,
b1423,ydcJ,conserved hypothetical protein,noessential,1,
b1424,mdoD,glucan biosynthesis protein D,noessential,,
b1426,ydcH,conserved hypothetical protein,noessential,,
b1427,rimL,ribosomal-protein-L12-serine acetyltransferase,noessential,,
b1428,ydcK,predicted enzyme,noessential,,
b1429,tehA,TehA TDT transporter,noessential,,
b1430,tehB,tellurite resistance protein,noessential,1,
b1431,ydcL,conserved hypothetical protein,noessential,,
b1432,ydcM,putative virulence protein,noessential,,
b1433,ydcO,YdcO,noessential,,
b1434,ydcN,predicted DNA-binding transcriptional regulator,noessential,1,
b1435,ydcP,putative collagenase,noessential,1,
b1436,yncJ,predicted protein,noessential,,
b1438,ydcQ,predicted DNA-binding transcriptional regulator,noessential,,
b1439,ydcR,fused predicted DNA-binding transcriptional regulator and predicted amino transferase,noessential,,
b1440,ydcS,YdcS/YdcT/YdcV/YdcU ABC transporter,noessential,,
b1441,ydcT,YdcS/YdcT/YdcV/YdcU ABC transporter,noessential,,
b1442,ydcU,YdcS/YdcT/YdcV/YdcU ABC transporter,noessential,,
b1443,ydcV,YdcS/YdcT/YdcV/YdcU ABC transporter,noessential,,
b1444,ydcW,&gamma;-aminobutyraldehyde dehydrogenase,noessential,,
b1445,ydcX,hypothetical protein,noessential,,
b1446,ydcY,hypothetical protein,noessential,,
b1447,ydcZ,putative transport protein,noessential,,
b1448,yncA,predicted acyltransferase with acyl-CoA N-acyltransferase domain,noessential,,
b1449,yncB,predicted oxidoreductase; Zn-dependent and NAD(P)-binding,noessential,1,
b1450,yncC,predicted DNA-binding transcriptional regulator,noessential,,
b1451,yncD,probable TonB-dependent receptor,noessential,,
b1452,yncE,conserved protein,noessential,,
b1453,ansP,AnsP L-asparagine APC Transporter,noessential,,
b1454,yncG,hypothetical GST-like protein,noessential,,
b1455,yncH,hypothetical protein,noessential,,
b1457,ydcD,hypothetical protein,noessential,,
b1458,yncI,predicted protein,noessential,,
b1459,yncM,predicted protein,,,
b1460,ydcC,conserved protein; similar to H-repeat associated proteins,noessential,,
b1461,pptA,probable 4-oxalocrotonate tautomerase (4-OT) monomer,noessential,,
b1462,yddH,conserved proteion,noessential,,
b1463,nhoA,N-hydroxyarylamine O-acetyltransferase,noessential,,
b1464,yddE,conserved protein,noessential,,
b1465,narV,nitrate reductase Z; &gamma; subunit,noessential,,
b1466,narW,NarW; probable private chaperone for NarZ nitrate reductase subunit,noessential,1,
b1467,narY,nitrate reductase Z; &beta; subunit,noessential,,
b1468,narZ,nitrate reductase Z; &alpha; subunit,noessential,1,
b1469,narU,NarU MFS nitrate/nitrite antiporter,noessential,,
b1470,yddJ,hypothetical protein,noessential,,
b1471,yddK,predicted protein,noessential,,
b1472,yddL,predicted lipoprotein,noessential,,
b1473,yddG,predicted methyl viologen efflux pump,noessential,,
b1474,fdnG,formate dehydrogenase N; &alpha; subunit,noessential,1,
b1475,fdnH,formate dehydrogenase N; &beta; subunit,noessential,,
b1476,fdnI,formate dehydrogenase N; &gamma; subunit,noessential,,
b1477,yddM,predicted DNA-binding transcriptional regulator,noessential,,
b1478,adhP,ethanol dehydrogenase,noessential,,
b1479,maeA,malate dehydrogenase; NAD-requiring,noessential,,
b1480,sra,30S ribosomal subunit protein S22,noessential,1,1
b1481,bdm,biofilm-dependent modulation protein,noessential,,
b1482,osmC,osmotically inducible peroxidase OsmC,noessential,1,
b1483,ddpF,YddO,noessential,,
b1484,ddpD,YddP,noessential,,
b1485,ddpC,YddQ,noessential,,
b1486,ddpB,YddR,noessential,,
b1487,ddpA,YddS,noessential,1,
